symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 11:44:00+00:00,624.0,624.0,623.96,623.96,791.0,18.0,623.968
SPY,2025-07-17 11:45:00+00:00,624.03,624.03,624.03,624.03,533.0,13.0,624.03
SPY,2025-07-17 11:46:00+00:00,623.9,623.9,623.9,623.9,1543.0,52.0,623.9
SPY,2025-07-17 11:47:00+00:00,623.81,623.82,623.76,623.8,3617.0,54.0,623.793484
SPY,2025-07-17 11:48:00+00:00,623.78,623.81,623.78,623.81,413.0,22.0,623.795
SPY,2025-07-17 11:49:00+00:00,623.76,623.82,623.76,623.8,3246.0,44.0,623.771739
SPY,2025-07-17 11:50:00+00:00,623.84,623.86,623.84,623.86,2741.0,44.0,623.848095
SPY,2025-07-17 11:51:00+00:00,623.83,623.89,623.83,623.89,534.0,14.0,623.86
SPY,2025-07-17 11:52:00+00:00,623.85,623.85,623.85,623.85,482.0,18.0,623.85
SPY,2025-07-17 11:53:00+00:00,623.8,623.8,623.8,623.8,494.0,10.0,623.8
SPY,2025-07-17 11:55:00+00:00,623.84,623.84,623.75,623.75,7066.0,102.0,623.818904
SPY,2025-07-17 11:58:00+00:00,623.91,623.91,623.9,623.9,378.0,8.0,623.905
SPY,2025-07-17 11:59:00+00:00,623.94,623.94,623.87,623.87,10481.0,73.0,623.877341
SPY,2025-07-17 12:00:00+00:00,624.01,625.0,623.27,624.0287,38914.0,1748.0,624.100904
SPY,2025-07-17 12:01:00+00:00,624.47,624.47,623.95,623.95,9597.0,400.0,624.145871
SPY,2025-07-17 12:02:00+00:00,623.9901,624.1,623.9901,624.08,2232.0,76.0,624.0214
SPY,2025-07-17 12:03:00+00:00,624.07,624.07,624.07,624.07,480.0,31.0,624.07
SPY,2025-07-17 12:04:00+00:00,624.081,624.081,624.05,624.05,2261.0,45.0,624.073257
SPY,2025-07-17 12:05:00+00:00,624.099,624.13,624.09,624.11,1249.0,37.0,624.104973
SPY,2025-07-17 12:06:00+00:00,624.09,624.17,624.09,624.15,3129.0,40.0,624.136246
SPY,2025-07-17 12:07:00+00:00,624.1,624.1,624.09,624.09,1205.0,42.0,624.09688
SPY,2025-07-17 12:08:00+00:00,624.1895,624.1895,624.13,624.1501,4731.0,97.0,624.152959
SPY,2025-07-17 12:09:00+00:00,624.19,624.2,624.13,624.13,2694.0,58.0,624.189074
SPY,2025-07-17 12:10:00+00:00,624.1701,624.19,624.1701,624.18,2694.0,40.0,624.176565
SPY,2025-07-17 12:11:00+00:00,624.22,624.24,624.21,624.2199,2894.0,62.0,624.225547
SPY,2025-07-17 12:12:00+00:00,624.23,624.23,624.15,624.15,6250.0,79.0,624.178323
SPY,2025-07-17 12:13:00+00:00,624.05,624.09,624.05,624.09,1428.0,43.0,624.085294
SPY,2025-07-17 12:14:00+00:00,624.07,624.07,623.96,623.96,2966.0,68.0,624.005294
SPY,2025-07-17 12:15:00+00:00,623.95,623.9999,623.92,623.98,3329.0,47.0,623.954073
SPY,2025-07-17 12:16:00+00:00,623.95,623.95,623.89,623.89,3854.0,76.0,623.915674
SPY,2025-07-17 12:17:00+00:00,623.95,623.98,623.9297,623.98,1173.0,30.0,623.951492
SPY,2025-07-17 12:18:00+00:00,624.05,624.05,624.03,624.04,5643.0,61.0,624.031997
SPY,2025-07-17 12:19:00+00:00,624.0,624.02,623.96,623.98,3639.0,41.0,623.985686
SPY,2025-07-17 12:20:00+00:00,623.92,623.92,623.8,623.83,6121.0,78.0,623.859875
SPY,2025-07-17 12:21:00+00:00,623.84,623.84,623.79,623.79,1792.0,53.0,623.819925
SPY,2025-07-17 12:22:00+00:00,623.77,623.79,623.76,623.77,8542.0,106.0,623.779841
SPY,2025-07-17 12:23:00+00:00,623.82,623.83,623.73,623.8,7490.0,119.0,623.780118
SPY,2025-07-17 12:24:00+00:00,623.84,624.03,623.83,624.03,4940.0,86.0,623.915284
SPY,2025-07-17 12:25:00+00:00,624.09,624.09,624.03,624.08,2793.0,55.0,624.044
SPY,2025-07-17 12:26:00+00:00,624.09,624.09,624.05,624.0501,1038.0,33.0,624.060025
SPY,2025-07-17 12:27:00+00:00,624.03,624.07,624.03,624.06,1956.0,42.0,624.052
SPY,2025-07-17 12:28:00+00:00,624.05,624.11,624.03,624.03,5583.0,40.0,624.096111
SPY,2025-07-17 12:29:00+00:00,624.08,624.14,624.08,624.14,5019.0,73.0,624.11578
SPY,2025-07-17 12:30:00+00:00,624.24,624.6,624.17,624.5,53472.0,440.0,624.418152
SPY,2025-07-17 12:31:00+00:00,624.53,624.54,624.16,624.24,24826.0,303.0,624.297782
SPY,2025-07-17 12:32:00+00:00,624.27,624.33,623.92,623.97,15222.0,244.0,624.163884
SPY,2025-07-17 12:33:00+00:00,623.9999,624.1,623.9999,624.08,9080.0,154.0,624.042707
SPY,2025-07-17 12:34:00+00:00,624.14,624.19,624.07,624.1,11437.0,185.0,624.128502
SPY,2025-07-17 12:35:00+00:00,624.09,624.3,624.08,624.27,6087.0,134.0,624.21299
SPY,2025-07-17 12:36:00+00:00,624.12,624.41,624.12,624.41,7742.0,144.0,624.315617
SPY,2025-07-17 12:37:00+00:00,624.4,624.4697,624.4,624.4697,1981.0,69.0,624.440532
SPY,2025-07-17 12:38:00+00:00,624.5,624.54,624.47,624.52,5565.0,100.0,624.505634
SPY,2025-07-17 12:39:00+00:00,624.5,624.64,624.47,624.64,13731.0,135.0,624.553878
